product_type,year,month,export_value
"Tobacco, unmanufactured",2019,August,28.584
"Tobacco, unmanufactured",2019,September,41.881
"Tobacco, unmanufactured",2019,October,29.23
"Tobacco, unmanufactured",2019,November,37.029
"Tobacco, unmanufactured",2019,December,67.765
Sugar & tropical products,2019,January,371.807
Sugar & tropical products,2019,February,354.522
Sugar & tropical products,2019,March,417.613
Sugar & tropical products,2019,April,403.958
Sugar & tropical products,2019,May,407.504
Sugar & tropical products,2019,June,414
Sugar & tropical products,2019,July,401.185
Sugar & tropical products,2019,August,428.168
Sugar & tropical products,2019,September,408.973
Sugar & tropical products,2019,October,451.646
Sugar & tropical products,2019,November,435.158
Sugar & tropical products,2019,December,371.669
Live animals,2021,January,85.927
Live animals,2021,February,81.311
Live animals,2021,March,95.874
Live animals,2021,April,103.188
Live animals,2021,May,88.002
Live animals,2021,June,103.134
Live animals,2021,July,87.649
Live animals,2021,August,88.03
Live animals,2021,September,98.678
Red meats and products,2021,January,1363.629
Red meats and products,2021,February,1364.441
Red meats and products,2021,March,1686.463
Red meats and products,2021,April,1637.307
Red meats and products,2021,May,1801.33
Red meats and products,2021,June,1584.554
Red meats and products,2021,July,1682.146
Red meats and products,2021,August,1762.818
Red meats and products,2021,September,1638.512
Poultry meats and products,2021,January,414.423
Poultry meats and products,2021,February,409.345
Poultry meats and products,2021,March,507.266
Poultry meats and products,2021,April,493.842
Poultry meats and products,2021,May,535.083
Poultry meats and products,2021,June,515.972
Poultry meats and products,2021,July,522.538
Poultry meats and products,2021,August,540.25
Poultry meats and products,2021,September,513.355
Dairy products,2021,January,498.565
Dairy products,2021,February,558.244
Dairy products,2021,March,680.303
Dairy products,2021,April,682.26
Dairy products,2021,May,682.834
Dairy products,2021,June,664.417
Dairy products,2021,July,662.323
Dairy products,2021,August,682.816
Dairy products,2021,September,650.058
Hides and skins,2021,January,72.567
Hides and skins,2021,February,72.632
Hides and skins,2021,March,91.291
Hides and skins,2021,April,95.995
Hides and skins,2021,May,131.081
Hides and skins,2021,June,103.566
Hides and skins,2021,July,103.712
Hides and skins,2021,August,124.146
Hides and skins,2021,September,93.944
Grains and feeds,2021,January,3334.321
Grains and feeds,2021,February,3446.308
Grains and feeds,2021,March,4664.738
Grains and feeds,2021,April,4752.305
Grains and feeds,2021,May,4680.595
Grains and feeds,2021,June,3874.954
Grains and feeds,2021,July,3726.586
Grains and feeds,2021,August,3400.423
Grains and feeds,2021,September,2803.213
Wheat,2021,January,540.644
Wheat,2021,February,510.541
Wheat,2021,March,593.736
Wheat,2021,April,718.252
Wheat,2021,May,688.012
Wheat,2021,June,574.076
Wheat,2021,July,590.951
Wheat,2021,August,806.001
Wheat,2021,September,754.331
Rice,2021,January,138.513
Rice,2021,February,160.986
Rice,2021,March,155.952
Rice,2021,April,211.099
Rice,2021,May,176.092
Rice,2021,June,165.694
Rice,2021,July,140.966
Rice,2021,August,187.821
Rice,2021,September,115.021
Corn,2021,January,1346.667
Corn,2021,February,1582.073
Corn,2021,March,2409.265
Corn,2021,April,2239.85
Corn,2021,May,2356.854
Corn,2021,June,1854.906
Corn,2021,July,1637.603
Corn,2021,August,995.334
Corn,2021,September,702.493
Other grain products,2021,January,382.202
Other grain products,2021,February,365.158
Other grain products,2021,March,450.115
Other grain products,2021,April,429.541
Other grain products,2021,May,421.517
Other grain products,2021,June,416.996
Other grain products,2021,July,408.1
Other grain products,2021,August,425.274
Other grain products,2021,September,396.406
Animal feeds and oil meal,2021,January,1315.683
Animal feeds and oil meal,2021,February,1241.001
Animal feeds and oil meal,2021,March,1385.553
Animal feeds and oil meal,2021,April,1284.101
Animal feeds and oil meal,2021,May,1305.911
Animal feeds and oil meal,2021,June,1177.428
Animal feeds and oil meal,2021,July,1235.223
Animal feeds and oil meal,2021,August,1294.446
Animal feeds and oil meal,2021,September,1070.924
Soybeans,2021,January,4147.51
Soybeans,2021,February,2294.018
Soybeans,2021,March,1220.487
Soybeans,2021,April,770.298
Soybeans,2021,May,740.515
Soybeans,2021,June,553.041
Soybeans,2021,July,527.053
Soybeans,2021,August,748.264
Soybeans,2021,September,1217.006
Other oilseeds,2021,January,174.462
Other oilseeds,2021,February,164.867
Other oilseeds,2021,March,188.386
Other oilseeds,2021,April,181.858
Other oilseeds,2021,May,184.927
Other oilseeds,2021,June,167.239
Other oilseeds,2021,July,170.395
Other oilseeds,2021,August,154.194
Other oilseeds,2021,September,146.954
Vegetable oils,2021,January,356.302
Vegetable oils,2021,February,314.796
Vegetable oils,2021,March,317.086
Vegetable oils,2021,April,326.548
Vegetable oils,2021,May,271.178
Vegetable oils,2021,June,308.587
Vegetable oils,2021,July,292.28
Vegetable oils,2021,August,302.863
Vegetable oils,2021,September,246.642
Fruits and products,2021,January,366.168
Fruits and products,2021,February,404.396
Fruits and products,2021,March,514.177
Fruits and products,2021,April,434.551
Fruits and products,2021,May,573.872
Fruits and products,2021,June,666.238
Fruits and products,2021,July,653.143
Fruits and products,2021,August,535.016
Fruits and products,2021,September,509.689
"Fruits, fresh",2021,January,251.265
"Fruits, fresh",2021,February,291.247
"Fruits, fresh",2021,March,368.372
"Fruits, fresh",2021,April,294.764
"Fruits, fresh",2021,May,434.225
"Fruits, fresh",2021,June,531.769
"Fruits, fresh",2021,July,511.245
"Fruits, fresh",2021,August,397.508
"Fruits, fresh",2021,September,357.827
"Fruits, prepared or preserved",2021,January,114.904
"Fruits, prepared or preserved",2021,February,113.15
"Fruits, prepared or preserved",2021,March,145.804
"Fruits, prepared or preserved",2021,April,139.786
"Fruits, prepared or preserved",2021,May,139.648
"Fruits, prepared or preserved",2021,June,134.469
"Fruits, prepared or preserved",2021,July,141.898
"Fruits, prepared or preserved",2021,August,137.507
"Fruits, prepared or preserved",2021,September,151.862
Fruit juices,2021,January,63.474
Fruit juices,2021,February,58.863
Fruit juices,2021,March,70.724
Fruit juices,2021,April,68.88
Fruit juices,2021,May,68.434
Fruit juices,2021,June,66.1
Fruit juices,2021,July,60.798
Fruit juices,2021,August,62.206
Fruit juices,2021,September,58.346
Vegetables and products,2021,January,579.127
Vegetables and products,2021,February,546.584
Vegetables and products,2021,March,659.592
Vegetables and products,2021,April,671.338
Vegetables and products,2021,May,678.373
Vegetables and products,2021,June,626.488
Vegetables and products,2021,July,616.608
Vegetables and products,2021,August,555.676
Vegetables and products,2021,September,542.965
"Vegetables, fresh",2021,January,213.396
"Vegetables, fresh",2021,February,196.721
"Vegetables, fresh",2021,March,234.529
"Vegetables, fresh",2021,April,232.008
"Vegetables, fresh",2021,May,262.323
"Vegetables, fresh",2021,June,234.125
"Vegetables, fresh",2021,July,222.165
"Vegetables, fresh",2021,August,184.022
"Vegetables, fresh",2021,September,187.077
"Vegetables, prepared or preserved",2021,January,365.73
"Vegetables, prepared or preserved",2021,February,349.863
"Vegetables, prepared or preserved",2021,March,425.062
"Vegetables, prepared or preserved",2021,April,439.33
"Vegetables, prepared or preserved",2021,May,416.049
"Vegetables, prepared or preserved",2021,June,392.363
"Vegetables, prepared or preserved",2021,July,394.443
"Vegetables, prepared or preserved",2021,August,371.654
"Vegetables, prepared or preserved",2021,September,355.887
Tree nuts and preparations,2021,January,652.487
Tree nuts and preparations,2021,February,772.798
Tree nuts and preparations,2021,March,825.609
Tree nuts and preparations,2021,April,769.674
Tree nuts and preparations,2021,May,689.898
Tree nuts and preparations,2021,June,621.037
Tree nuts and preparations,2021,July,662.181
Tree nuts and preparations,2021,August,629.822
Tree nuts and preparations,2021,September,687.162
Wine,2021,January,85.385
Wine,2021,February,91.02
Wine,2021,March,120.846
Wine,2021,April,125.536
Wine,2021,May,123.646
Wine,2021,June,123.851
Wine,2021,July,139.579
Wine,2021,August,130.588
Wine,2021,September,107.74
Distilled spirits,2021,January,86.428
Distilled spirits,2021,February,103.451
Distilled spirits,2021,March,136.489
Distilled spirits,2021,April,133.494
Distilled spirits,2021,May,143.99
Distilled spirits,2021,June,136.06
Distilled spirits,2021,July,112.406
Distilled spirits,2021,August,136.279
Distilled spirits,2021,September,139.295
Ethanol (non-beverage),2021,January,255.659
Ethanol (non-beverage),2021,February,193.96
Ethanol (non-beverage),2021,March,226.734
Ethanol (non-beverage),2021,April,228.288
Ethanol (non-beverage),2021,May,159.316
Ethanol (non-beverage),2021,June,189.11
Ethanol (non-beverage),2021,July,138.819
Ethanol (non-beverage),2021,August,187.739
Ethanol (non-beverage),2021,September,185.67
Cotton and linters,2021,January,609.39
Cotton and linters,2021,February,605.143
Cotton and linters,2021,March,671.518
Cotton and linters,2021,April,672.619
Cotton and linters,2021,May,697.22
Cotton and linters,2021,June,533.505
Cotton and linters,2021,July,486.017
Cotton and linters,2021,August,429.046
Cotton and linters,2021,September,257.746
Tobacco,2021,January,97.642
Tobacco,2021,February,128.75
Tobacco,2021,March,104.296
Tobacco,2021,April,89.849
Tobacco,2021,May,86.253
Tobacco,2021,June,86.24
Tobacco,2021,July,107.915
Tobacco,2021,August,104.254
Tobacco,2021,September,77.034
"Tobacco, unmanufactured",2021,January,78.151
"Tobacco, unmanufactured",2021,February,112.579
"Tobacco, unmanufactured",2021,March,82.039
"Tobacco, unmanufactured",2021,April,72.478
"Tobacco, unmanufactured",2021,May,69.704
"Tobacco, unmanufactured",2021,June,68.324
"Tobacco, unmanufactured",2021,July,91.801
"Tobacco, unmanufactured",2021,August,87.343
"Tobacco, unmanufactured",2021,September,63.037
"Tobacco, manufactured",2021,January,19.491
"Tobacco, manufactured",2021,February,16.171
"Tobacco, manufactured",2021,March,22.257
"Tobacco, manufactured",2021,April,17.371
"Tobacco, manufactured",2021,May,16.549
"Tobacco, manufactured",2021,June,17.916
"Tobacco, manufactured",2021,July,16.114
"Tobacco, manufactured",2021,August,16.911
"Tobacco, manufactured",2021,September,13.997
Sugar and tropical products,2021,January,194
Sugar and tropical products,2021,February,183.457
Sugar and tropical products,2021,March,170.828
Sugar and tropical products,2021,April,116.042
Sugar and tropical products,2021,May,98.378
Sugar and tropical products,2021,June,93.677
Sugar and tropical products,2021,July,96.433
Sugar and tropical products,2021,August,84.397
Sugar and tropical products,2021,September,91.704
Live animals,2020,January,79.178
Red meats & products,2020,January,1460.65
Poultry meats & products,2020,January,407.645
Dairy products,2020,January,553.229
Hides & skins,2020,January,87.635
Grains & feeds,2020,January,2121.421
Wheat,2020,January,444.29
Rice,2020,January,136.583
Corn,2020,January,457.039
Other grain products,2020,January,389.4
Animal feeds & oil meal,2020,January,995.417
Soybeans,2020,January,1947.992
Other oilseeds,2020,January,137.984
Vegetable oils,2020,January,203.732
Fruits & products,2020,January,364.355
"Fruits, fresh",2020,January,243.407
"Fruits, prepared or preserved",2020,January,120.948
Fruit juices,2020,January,57.502
Vegetables & products,2020,January,575.529
"Vegetables, fresh",2020,January,224.458
"Vegetables, prepared or preserved",2020,January,351.071
Tree nuts & preparations,2020,January,775.784
Wine,2020,January,88.653
Cotton & linters,2020,January,601.337
"Tobacco, unmanufactured",2020,January,62.527
Sugar & tropical products,2020,January,362.367
Live animals,2020,February,65.712
Red meats & products,2020,February,1456.243
Poultry meats & products,2020,February,407.881
Dairy products,2020,February,529.55
Hides & skins,2020,February,86.945
Grains & feeds,2020,February,2512.895
Wheat,2020,February,540.801
Rice,2020,February,174.264
Corn,2020,February,724.018
Other grain products,2020,February,395.249
Animal feeds & oil meal,2020,February,1054.033
Soybeans,2020,February,1001.191
Other oilseeds,2020,February,135.376
Vegetable oils,2020,February,307.925
Fruits & products,2020,February,439.494
"Fruits, fresh",2020,February,311.622
"Fruits, prepared or preserved",2020,February,127.872
Fruit juices,2020,February,64.906
Vegetables & products,2020,February,550.878
"Vegetables, fresh",2020,February,209.07
"Vegetables, prepared or preserved",2020,February,341.808
Tree nuts & preparations,2020,February,849.249
Wine,2020,February,99.187
Cotton & linters,2020,February,707.485
"Tobacco, unmanufactured",2020,February,58.215
Sugar & tropical products,2020,February,368.479
Live animals,2020,March,50.594
Red meats & products,2020,March,1525.406
Poultry meats & products,2020,March,461.027
Dairy products,2020,March,589.891
Hides & skins,2020,March,79.953
Grains & feeds,2020,March,2669.726
Wheat,2020,March,438.959
Rice,2020,March,153.751
Corn,2020,March,861.759
Other grain products,2020,March,424.087
Animal feeds & oil meal,2020,March,1119.066
Soybeans,2020,March,938.408
Other oilseeds,2020,March,148.395
Vegetable oils,2020,March,269.927
Fruits & products,2020,March,488.765
"Fruits, fresh",2020,March,351.108
"Fruits, prepared or preserved",2020,March,137.657
Fruit juices,2020,March,75.866
Vegetables & products,2020,March,613.951
"Vegetables, fresh",2020,March,227.305
"Vegetables, prepared or preserved",2020,March,386.646
Tree nuts & preparations,2020,March,841.255
Wine,2020,March,97.243
Cotton & linters,2020,March,713.75
"Tobacco, unmanufactured",2020,March,88.487
Sugar & tropical products,2020,March,394.904
Live animals,2020,April,47.457
Red meats & products,2020,April,1335.205
Poultry meats & products,2020,April,409.194
Dairy products,2020,April,517.49
Hides & skins,2020,April,65.659
Grains & feeds,2020,April,2872.672
Wheat,2020,April,574.146
Rice,2020,April,191.208
Corn,2020,April,879.827
Other grain products,2020,April,371.108
Animal feeds & oil meal,2020,April,1101.039
Soybeans,2020,April,777.712
Other oilseeds,2020,April,159.371
Vegetable oils,2020,April,266.785
Fruits & products,2020,April,383.479
"Fruits, fresh",2020,April,261.277
"Fruits, prepared or preserved",2020,April,122.202
Fruit juices,2020,April,65.148
Vegetables & products,2020,April,555.594
"Vegetables, fresh",2020,April,207.718
"Vegetables, prepared or preserved",2020,April,347.876
Tree nuts & preparations,2020,April,634.515
Wine,2020,April,100.937
Cotton & linters,2020,April,437.798
"Tobacco, unmanufactured",2020,April,42.595
Sugar & tropical products,2020,April,330.875
Live animals,2020,May,42.067
Red meats & products,2020,May,1156.454
Poultry meats & products,2020,May,377.67
Dairy products,2020,May,581.669
Hides & skins,2020,May,52.271
Grains & feeds,2020,May,2912.867
Wheat,2020,May,559.282
Rice,2020,May,194.814
Corn,2020,May,965.252
Other grain products,2020,May,364.466
Animal feeds & oil meal,2020,May,1023.136
Soybeans,2020,May,702.161
Other oilseeds,2020,May,161.713
Vegetable oils,2020,May,282.661
Fruits & products,2020,May,490.134
"Fruits, fresh",2020,May,366.814
"Fruits, prepared or preserved",2020,May,123.319
Fruit juices,2020,May,64.169
Vegetables & products,2020,May,576.557
"Vegetables, fresh",2020,May,240.844
"Vegetables, prepared or preserved",2020,May,335.713
Tree nuts & preparations,2020,May,555.683
Wine,2020,May,88.523
Cotton & linters,2020,May,406.991
"Tobacco, unmanufactured",2020,May,74.097
Sugar & tropical products,2020,May,316.258
Live animals,2020,June,41.233
Red meats & products,2020,June,1073.024
Poultry meats & products,2020,June,349.829
Dairy products,2020,June,579.267
Hides & skins,2020,June,65.462
Grains & feeds,2020,June,2706.696
Wheat,2020,June,522.886
Rice,2020,June,138.176
Corn,2020,June,849.471
Other grain products,2020,June,388.755
Animal feeds & oil meal,2020,June,1052.404
Soybeans,2020,June,644.046
Other oilseeds,2020,June,141.242
Vegetable oils,2020,June,224.17
Fruits & products,2020,June,559.845
"Fruits, fresh",2020,June,442.376
"Fruits, prepared or preserved",2020,June,117.469
Fruit juices,2020,June,65.421
Vegetables & products,2020,June,546.06
"Vegetables, fresh",2020,June,228.321
"Vegetables, prepared or preserved",2020,June,317.738
Tree nuts & preparations,2020,June,540.608
Wine,2020,June,88.231
Cotton & linters,2020,June,469.132
"Tobacco, unmanufactured",2020,June,42.344
Sugar & tropical products,2020,June,333.636
Live animals,2020,July,54.346
Red meats & products,2020,July,1270.061
Poultry meats & products,2020,July,382.19
Dairy products,2020,July,549.365
Hides & skins,2020,July,71.666
Grains & feeds,2020,July,2558.812
Wheat,2020,July,549.647
Rice,2020,July,127.647
Corn,2020,July,718.23
Other grain products,2020,July,404.95
Animal feeds & oil meal,2020,July,1036.303
Soybeans,2020,July,792.699
Other oilseeds,2020,July,124.938
Vegetable oils,2020,July,207.413
Fruits & products,2020,July,665.162
"Fruits, fresh",2020,July,539.659
"Fruits, prepared or preserved",2020,July,125.503
Fruit juices,2020,July,62.76
Vegetables & products,2020,July,537.235
"Vegetables, fresh",2020,July,222.542
"Vegetables, prepared or preserved",2020,July,314.693
Tree nuts & preparations,2020,July,514.775
Wine,2020,July,109.614
Cotton & linters,2020,July,513.737
"Tobacco, unmanufactured",2020,July,52.572
Sugar & tropical products,2020,July,353.883
Live animals,2020,August,65.519
Red meats & products,2020,August,1272.649
Poultry meats & products,2020,August,394.635
Dairy products,2020,August,545.445
Hides & skins,2020,August,61.907
Grains & feeds,2020,August,2622.68
Wheat,2020,August,582.48
Rice,2020,August,101.481
Corn,2020,August,751.709
Other grain products,2020,August,402.177
Animal feeds & oil meal,2020,August,1020.568
Soybeans,2020,August,1645.032
Other oilseeds,2020,August,131.416
Vegetable oils,2020,August,267.885
Fruits & products,2020,August,505.901
"Fruits, fresh",2020,August,386.576
"Fruits, prepared or preserved",2020,August,119.326
Fruit juices,2020,August,59.214
Vegetables & products,2020,August,537.392
"Vegetables, fresh",2020,August,189.191
"Vegetables, prepared or preserved",2020,August,348.201
Tree nuts & preparations,2020,August,497.49
Wine,2020,August,113.783
Cotton & linters,2020,August,454.768
"Tobacco, unmanufactured",2020,August,76.577
Sugar & tropical products,2020,August,378.605
Live animals,2020,September,77.137
Red meats & products,2020,September,1235.007
Poultry meats & products,2020,September,397.225
Dairy products,2020,September,512.411
Hides & skins,2020,September,56.001
Grains & feeds,2020,September,2554.176
Wheat,2020,September,626.645
Rice,2020,September,93.189
Corn,2020,September,657.675
Other grain products,2020,September,410.441
Animal feeds & oil meal,2020,September,1010.503
Soybeans,2020,September,2941.097
Other oilseeds,2020,September,126.198
Vegetable oils,2020,September,243.031
Fruits & products,2020,September,468.54
"Fruits, fresh",2020,September,339.212
"Fruits, prepared or preserved",2020,September,129.328
Fruit juices,2020,September,60.566
Vegetables & products,2020,September,534.883
"Vegetables, fresh",2020,September,175.249
"Vegetables, prepared or preserved",2020,September,359.634
Tree nuts & preparations,2020,September,657.842
Wine,2020,September,103.467
Cotton & linters,2020,September,298.653
"Tobacco, unmanufactured",2020,September,38.64
Sugar & tropical products,2020,September,396.759
Live animals,2020,October,100.937
Red meats & products,2020,October,1359.596
Poultry meats & products,2020,October,446.664
Dairy products,2020,October,559.567
Hides & skins,2020,October,63.828
Grains & feeds,2020,October,2446.259
Wheat,2020,October,442.986
Rice,2020,October,143.051
Corn,2020,October,665.883
Other grain products,2020,October,428.706
Animal feeds & oil meal,2020,October,1087.503
Soybeans,2020,October,4814.046
Other oilseeds,2020,October,145.432
Vegetable oils,2020,October,256.365
Fruits & products,2020,October,512.779
"Fruits, fresh",2020,October,367.742
"Fruits, prepared or preserved",2020,October,145.037
Fruit juices,2020,October,60.717
Vegetables & products,2020,October,625.036
"Vegetables, fresh",2020,October,223.528
"Vegetables, prepared or preserved",2020,October,401.509
Tree nuts & preparations,2020,October,1050.628
Wine,2020,October,127.443
Cotton & linters,2020,October,399.582
"Tobacco, unmanufactured",2020,October,35.384
Sugar & tropical products,2020,October,424.561
Live animals,2020,November,95.098
Red meats & products,2020,November,1473.852
Poultry meats & products,2020,November,430.843
Dairy products,2020,November,507.52
Hides & skins,2020,November,62.786
Grains & feeds,2020,November,2719.502
Wheat,2020,November,489.673
Rice,2020,November,193.177
Corn,2020,November,737.74
Other grain products,2020,November,404.504
Animal feeds & oil meal,2020,November,1157.942
Soybeans,2020,November,4698.838
Other oilseeds,2020,November,132.663
Vegetable oils,2020,November,282.44
Fruits & products,2020,November,525.905
"Fruits, fresh",2020,November,386.577
"Fruits, prepared or preserved",2020,November,139.328
Fruit juices,2020,November,60.487
Vegetables & products,2020,November,605.232
"Vegetables, fresh",2020,November,223.348
"Vegetables, prepared or preserved",2020,November,381.884
Tree nuts & preparations,2020,November,1076.063
Wine,2020,November,122.5
Cotton & linters,2020,November,472.422
"Tobacco, unmanufactured",2020,November,46.974
Sugar & tropical products,2020,November,389.56
Live animals,2020,December,99.552
Red meats & products,2020,December,1502.699
Poultry meats & products,2020,December,408.047
Dairy products,2020,December,507.572
Hides & skins,2020,December,66.005
Grains & feeds,2020,December,2981.348
Wheat,2020,December,526.023
Rice,2020,December,229.307
Corn,2020,December,941.789
Other grain products,2020,December,402.857
Animal feeds & oil meal,2020,December,1246.527
Soybeans,2020,December,4880.295
Other oilseeds,2020,December,145.485
Vegetable oils,2020,December,271.515
Fruits & products,2020,December,426.915
"Fruits, fresh",2020,December,300.823
"Fruits, prepared or preserved",2020,December,126.093
Fruit juices,2020,December,58.999
Vegetables & products,2020,December,584.012
"Vegetables, fresh",2020,December,206.383
"Vegetables, prepared or preserved",2020,December,377.629
Tree nuts & preparations,2020,December,990.015
Wine,2020,December,116.205
Cotton & linters,2020,December,500.686
"Tobacco, unmanufactured",2020,December,47.501
Sugar & tropical products,2020,December,354.83
