"product_type","year","month","export_volume"
"Red meats & products","2018","January",375.4404
"Red meats & products","2018","February",362.0759
"Red meats & products","2018","March",390.6767
"Red meats & products","2018","April",398.2819
"Red meats & products","2018","May",384.0097
"Red meats & products","2018","June",362.8576
"Red meats & products","2018","July",356.4711
"Red meats & products","2018","August",365.3417
"Red meats & products","2018","September",345.0546
"Red meats & products","2018","October",391.198
"Red meats & products","2018","November",389.1827
"Red meats & products","2018","December",391.6292
"Poultry meats","2018","January",285.4537
"Poultry meats","2018","February",286.6564
"Poultry meats","2018","March",310.8032
"Poultry meats","2018","April",302.3527
"Poultry meats","2018","May",282.6066
"Poultry meats","2018","June",293.6011
"Poultry meats","2018","July",300.9603
"Poultry meats","2018","August",319.9753
"Poultry meats","2018","September",297.5752
"Poultry meats","2018","October",348.1514
"Poultry meats","2018","November",316.7931
"Poultry meats","2018","December",291.2102
"Nonfat dry milk","2018","January",50.358
"Nonfat dry milk","2018","February",67.6593
"Nonfat dry milk","2018","March",72.2129
"Nonfat dry milk","2018","April",80.397
"Nonfat dry milk","2018","May",73.9789
"Nonfat dry milk","2018","June",60.2226
"Nonfat dry milk","2018","July",58.3925
"Nonfat dry milk","2018","August",65.0282
"Nonfat dry milk","2018","September",59.1391
"Nonfat dry milk","2018","October",64.7281
"Nonfat dry milk","2018","November",51.6424
"Nonfat dry milk","2018","December",52.3688
"Wheat","2018","January",1788.915
"Wheat","2018","February",1396.568
"Wheat","2018","March",2120.193
"Wheat","2018","April",1935.992
"Wheat","2018","May",1805.076
"Wheat","2018","June",1530.211
"Wheat","2018","July",1765.978
"Wheat","2018","August",2089.083
"Wheat","2018","September",1820.53
"Wheat","2018","October",1904.262
"Wheat","2018","November",1719.826
"Wheat","2018","December",2237.159
"Rice","2018","January",234.2386
"Rice","2018","February",320.0716
"Rice","2018","March",347.0741
"Rice","2018","April",215.2111
"Rice","2018","May",325.7497
"Rice","2018","June",184.5629
"Rice","2018","July",212.7475
"Rice","2018","August",223.7076
"Rice","2018","September",181.5476
"Rice","2018","October",200.9077
"Rice","2018","November",373.8209
"Rice","2018","December",340.3292
"Coarse grains","2018","January",4478.3881
"Coarse grains","2018","February",4498.375
"Coarse grains","2018","March",7484.5924
"Coarse grains","2018","April",8505.956
"Coarse grains","2018","May",7967.152
"Coarse grains","2018","June",7170.8263
"Coarse grains","2018","July",6874.7403
"Coarse grains","2018","August",6080.4263
"Coarse grains","2018","September",5342.4329
"Coarse grains","2018","October",5805.8024
"Coarse grains","2018","November",5343.244
"Coarse grains","2018","December",4504.082
"Corn","2018","January",3839.485
"Corn","2018","February",3768.72
"Corn","2018","March",6489.559
"Corn","2018","April",7712.105
"Corn","2018","May",7868.861
"Corn","2018","June",7117.203
"Corn","2018","July",6766.268
"Corn","2018","August",5842.626
"Corn","2018","September",5255.527
"Corn","2018","October",5694.572
"Corn","2018","November",5104.694
"Corn","2018","December",4345.014
"Sorghum","2018","January",630.737
"Sorghum","2018","February",718.448
"Sorghum","2018","March",985.577
"Sorghum","2018","April",787.437
"Sorghum","2018","May",91.361
"Sorghum","2018","June",42.928
"Sorghum","2018","July",95.608
"Sorghum","2018","August",226.811
"Sorghum","2018","September",73.155
"Sorghum","2018","October",103.669
"Sorghum","2018","November",227.512
"Sorghum","2018","December",149.277
"Soybeans","2018","January",5762.8568
"Soybeans","2018","February",4212.825
"Soybeans","2018","March",3238.5679
"Soybeans","2018","April",2167.366
"Soybeans","2018","May",2990.7948
"Soybeans","2018","June",3255.7831
"Soybeans","2018","July",3426.6052
"Soybeans","2018","August",3367.5099
"Soybeans","2018","September",3237.3094
"Soybeans","2018","October",5580.1459
"Soybeans","2018","November",5066.9199
"Soybeans","2018","December",4105.8215
"Oil meal","2018","January",1086.4213
"Oil meal","2018","February",1138.9349
"Oil meal","2018","March",1296.5357
"Oil meal","2018","April",1217.3502
"Oil meal","2018","May",1221.9519
"Oil meal","2018","June",1358.2531
"Oil meal","2018","July",1148.5107
"Oil meal","2018","August",1235.569
"Oil meal","2018","September",1064.9152
"Oil meal","2018","October",1015.1639
"Oil meal","2018","November",1061.6941
"Oil meal","2018","December",1095.879
"Vegetable oils","2018","January",206.8375
"Vegetable oils","2018","February",208.234
"Vegetable oils","2018","March",221.2779
"Vegetable oils","2018","April",212.8028
"Vegetable oils","2018","May",343.6462
"Vegetable oils","2018","June",220.9923
"Vegetable oils","2018","July",206.3144
"Vegetable oils","2018","August",201.0162
"Vegetable oils","2018","September",161.2383
"Vegetable oils","2018","October",161.143
"Vegetable oils","2018","November",224.3412
"Vegetable oils","2018","December",167.2205
"Fruits, fresh","2018","January",228.764
"Fruits, fresh","2018","February",254.7862
"Fruits, fresh","2018","March",279.2427
"Fruits, fresh","2018","April",234.919
"Fruits, fresh","2018","May",238.2087
"Fruits, fresh","2018","June",246.1028
"Fruits, fresh","2018","July",248.0778
"Fruits, fresh","2018","August",217.0808
"Fruits, fresh","2018","September",215.8668
"Fruits, fresh","2018","October",225.1164
"Fruits, fresh","2018","November",252.6079
"Fruits, fresh","2018","December",193.1962
"Fruits, prepared or preserved","2018","January",47.7264
"Fruits, prepared or preserved","2018","February",48.733
"Fruits, prepared or preserved","2018","March",56.0987
"Fruits, prepared or preserved","2018","April",52.6104
"Fruits, prepared or preserved","2018","May",52.2951
"Fruits, prepared or preserved","2018","June",51.9355
"Fruits, prepared or preserved","2018","July",47.9556
"Fruits, prepared or preserved","2018","August",48.7038
"Fruits, prepared or preserved","2018","September",47.1334
"Fruits, prepared or preserved","2018","October",48.9287
"Fruits, prepared or preserved","2018","November",46.2793
"Fruits, prepared or preserved","2018","December",43.6247
"Fruit juices","2018","January",47.5646
"Fruit juices","2018","February",45.2457
"Fruit juices","2018","March",58.2504
"Fruit juices","2018","April",51.5485
"Fruit juices","2018","May",51.1371
"Fruit juices","2018","June",55.1373
"Fruit juices","2018","July",48.0213
"Fruit juices","2018","August",44.4243
"Fruit juices","2018","September",47.4055
"Fruit juices","2018","October",44.6031
"Fruit juices","2018","November",45.8458
"Fruit juices","2018","December",42.461
"Vegetables, fresh","2018","January",190.649
"Vegetables, fresh","2018","February",184.1345
"Vegetables, fresh","2018","March",210.2964
"Vegetables, fresh","2018","April",208.3506
"Vegetables, fresh","2018","May",239.7919
"Vegetables, fresh","2018","June",233.003
"Vegetables, fresh","2018","July",196.7951
"Vegetables, fresh","2018","August",177.887
"Vegetables, fresh","2018","September",174.3935
"Vegetables, fresh","2018","October",189.793
"Vegetables, fresh","2018","November",207.0475
"Vegetables, fresh","2018","December",213.7621
"Vegetables, prepared or preserved","2018","January",190.1895
"Vegetables, prepared or preserved","2018","February",196.5591
"Vegetables, prepared or preserved","2018","March",229.5036
"Vegetables, prepared or preserved","2018","April",234.2628
"Vegetables, prepared or preserved","2018","May",237.8007
"Vegetables, prepared or preserved","2018","June",216.2109
"Vegetables, prepared or preserved","2018","July",200.0684
"Vegetables, prepared or preserved","2018","August",200.9533
"Vegetables, prepared or preserved","2018","September",207.7332
"Vegetables, prepared or preserved","2018","October",215.1764
"Vegetables, prepared or preserved","2018","November",230.6654
"Vegetables, prepared or preserved","2018","December",242.0963
"Nuts & preparations","2018","January",137.2996
"Nuts & preparations","2018","February",154.6352
"Nuts & preparations","2018","March",166.8057
"Nuts & preparations","2018","April",136.9894
"Nuts & preparations","2018","May",122.7452
"Nuts & preparations","2018","June",111.5922
"Nuts & preparations","2018","July",106.5863
"Nuts & preparations","2018","August",103.5289
"Nuts & preparations","2018","September",126.814
"Nuts & preparations","2018","October",206.0846
"Nuts & preparations","2018","November",247.8701
"Nuts & preparations","2018","December",192.8902
"Cotton & linters","2018","January",359.6655
"Cotton & linters","2018","February",433.1098
"Cotton & linters","2018","March",509.4476
"Cotton & linters","2018","April",480.3702
"Cotton & linters","2018","May",434.7297
"Cotton & linters","2018","June",311.307
"Cotton & linters","2018","July",237.3773
"Cotton & linters","2018","August",178.6088
"Cotton & linters","2018","September",156.1482
"Cotton & linters","2018","October",133.2588
"Cotton & linters","2018","November",149.8868
"Cotton & linters","2018","December",213.1728
"Major bulk","2018","January",12631.6212
"Major bulk","2018","February",10876.4547
"Major bulk","2018","March",13728.389
"Major bulk","2018","April",13320.7305
"Major bulk","2018","May",13531.9827
"Major bulk","2018","June",12469.4493
"Major bulk","2018","July",12529.5931
"Major bulk","2018","August",11953.5031
"Major bulk","2018","September",10746.711
"Major bulk","2018","October",13633.4878
"Major bulk","2018","November",12658.7224
"Major bulk","2018","December",11408.2733
