"product","year","month","country","value"
"Fruits, fresh or frozen","2018","January","Mexico",603.618
"Fruits, fresh or frozen","2018","January","Chile",295.103
"Fruits, fresh or frozen","2018","January","Peru",230.46
"Fruits, fresh or frozen","2018","January","Guatemala",115.992
"Fruits, fresh or frozen","2018","January","Costa Rica",86.922
"Fruits, fresh or frozen","2018","January","Ecuador",47.939
"Fruits, fresh or frozen","2018","January","Honduras",41.594
"Fruits, fresh or frozen","2018","January","Canada",14.287
"Fruits, fresh or frozen","2018","January","Argentina",2.399
"Fruits, fresh or frozen","2018","January","Colombia",13.862
"Fruits, fresh or frozen","2018","January","World",1512.881
"Fruits, fresh or frozen","2018","February","Mexico",589.407
"Fruits, fresh or frozen","2018","February","Chile",338.647
"Fruits, fresh or frozen","2018","February","Peru",124.882
"Fruits, fresh or frozen","2018","February","Guatemala",93.004
"Fruits, fresh or frozen","2018","February","Costa Rica",83.031
"Fruits, fresh or frozen","2018","February","Ecuador",43.868
"Fruits, fresh or frozen","2018","February","Honduras",47.544
"Fruits, fresh or frozen","2018","February","Canada",13.715
"Fruits, fresh or frozen","2018","February","Argentina",10.769
"Fruits, fresh or frozen","2018","February","Colombia",17.754
"Fruits, fresh or frozen","2018","February","World",1417.354
"Fruits, fresh or frozen","2018","March","Mexico",679.3
"Fruits, fresh or frozen","2018","March","Chile",373.21
"Fruits, fresh or frozen","2018","March","Guatemala",142.749
"Fruits, fresh or frozen","2018","March","Peru",42.933
"Fruits, fresh or frozen","2018","March","Costa Rica",90.288
"Fruits, fresh or frozen","2018","March","Ecuador",36.346
"Fruits, fresh or frozen","2018","March","Honduras",35.054
"Fruits, fresh or frozen","2018","March","Canada",15.278
"Fruits, fresh or frozen","2018","March","Argentina",18.691
"Fruits, fresh or frozen","2018","March","Colombia",18.812
"Fruits, fresh or frozen","2018","March","World",1502.432
"Fruits, fresh or frozen","2018","April","Mexico",711.881
"Fruits, fresh or frozen","2018","April","Chile",227.148
"Fruits, fresh or frozen","2018","April","Guatemala",128.994
"Fruits, fresh or frozen","2018","April","Peru",15.649
"Fruits, fresh or frozen","2018","April","Costa Rica",91.983
"Fruits, fresh or frozen","2018","April","Ecuador",30.593
"Fruits, fresh or frozen","2018","April","Honduras",51.716
"Fruits, fresh or frozen","2018","April","Canada",17.251
"Fruits, fresh or frozen","2018","April","Colombia",19.798
"Fruits, fresh or frozen","2018","April","Argentina",13.578
"Fruits, fresh or frozen","2018","April","World",1357.217
"Fruits, fresh or frozen","2018","May","Mexico",745.483
"Fruits, fresh or frozen","2018","May","Chile",90.067
"Fruits, fresh or frozen","2018","May","Guatemala",106.82
"Fruits, fresh or frozen","2018","May","Costa Rica",106.002
"Fruits, fresh or frozen","2018","May","Peru",18.904
"Fruits, fresh or frozen","2018","May","Ecuador",34.11
"Fruits, fresh or frozen","2018","May","Honduras",38.167
"Fruits, fresh or frozen","2018","May","Canada",18.077
"Fruits, fresh or frozen","2018","May","Colombia",21.367
"Fruits, fresh or frozen","2018","May","Argentina",16.269
"Fruits, fresh or frozen","2018","May","World",1254.863
"Fruits, fresh or frozen","2018","June","Mexico",598.08
"Fruits, fresh or frozen","2018","June","Chile",83.856
"Fruits, fresh or frozen","2018","June","Guatemala",81.201
"Fruits, fresh or frozen","2018","June","Costa Rica",103.791
"Fruits, fresh or frozen","2018","June","Peru",44.269
"Fruits, fresh or frozen","2018","June","Ecuador",30.21
"Fruits, fresh or frozen","2018","June","Honduras",21.454
"Fruits, fresh or frozen","2018","June","Canada",16.331
"Fruits, fresh or frozen","2018","June","Colombia",15.871
"Fruits, fresh or frozen","2018","June","Argentina",14.125
"Fruits, fresh or frozen","2018","June","World",1081.747
"Fruits, fresh or frozen","2018","July","Mexico",291.098
"Fruits, fresh or frozen","2018","July","Chile",127.86
"Fruits, fresh or frozen","2018","July","Guatemala",85.742
"Fruits, fresh or frozen","2018","July","Costa Rica",93.615
"Fruits, fresh or frozen","2018","July","Peru",78.18
"Fruits, fresh or frozen","2018","July","Ecuador",37.495
"Fruits, fresh or frozen","2018","July","Honduras",18.514
"Fruits, fresh or frozen","2018","July","Canada",58.269
"Fruits, fresh or frozen","2018","July","Colombia",18.288
"Fruits, fresh or frozen","2018","July","Argentina",8.036
"Fruits, fresh or frozen","2018","July","World",926.512
"Fruits, fresh or frozen","2018","August","Mexico",359.461
"Fruits, fresh or frozen","2018","August","Chile",122.816
"Fruits, fresh or frozen","2018","August","Guatemala",98.02
"Fruits, fresh or frozen","2018","August","Costa Rica",69.58
"Fruits, fresh or frozen","2018","August","Peru",108.171
"Fruits, fresh or frozen","2018","August","Ecuador",33.175
"Fruits, fresh or frozen","2018","August","Honduras",16.353
"Fruits, fresh or frozen","2018","August","Canada",92.263
"Fruits, fresh or frozen","2018","August","Colombia",19.068
"Fruits, fresh or frozen","2018","August","Argentina",2.98
"Fruits, fresh or frozen","2018","August","World",1000.251
"Fruits, fresh or frozen","2018","September","Mexico",292.409
"Fruits, fresh or frozen","2018","September","Chile",114.314
"Fruits, fresh or frozen","2018","September","Guatemala",88.252
"Fruits, fresh or frozen","2018","September","Costa Rica",60.824
"Fruits, fresh or frozen","2018","September","Peru",79.331
"Fruits, fresh or frozen","2018","September","Ecuador",23.346
"Fruits, fresh or frozen","2018","September","Canada",42.302
"Fruits, fresh or frozen","2018","September","Honduras",18.092
"Fruits, fresh or frozen","2018","September","Colombia",17.182
"Fruits, fresh or frozen","2018","September","Argentina",2.751
"Fruits, fresh or frozen","2018","September","World",797.379
"Fruits, fresh or frozen","2018","October","Mexico",402.369
"Fruits, fresh or frozen","2018","October","Chile",109.891
"Fruits, fresh or frozen","2018","October","Guatemala",95.657
"Fruits, fresh or frozen","2018","October","Costa Rica",82.376
"Fruits, fresh or frozen","2018","October","Peru",112.796
"Fruits, fresh or frozen","2018","October","Canada",61.351
"Fruits, fresh or frozen","2018","October","Ecuador",30.563
"Fruits, fresh or frozen","2018","October","Honduras",28.147
"Fruits, fresh or frozen","2018","October","Colombia",21.533
"Fruits, fresh or frozen","2018","October","New Zealand",9.063
"Fruits, fresh or frozen","2018","October","World",1037.198
"Fruits, fresh or frozen","2018","November","Mexico",473.593
"Fruits, fresh or frozen","2018","November","Chile",34.031
"Fruits, fresh or frozen","2018","November","Guatemala",97.092
"Fruits, fresh or frozen","2018","November","Peru",93.855
"Fruits, fresh or frozen","2018","November","Costa Rica",68.187
"Fruits, fresh or frozen","2018","November","Ecuador",46.123
"Fruits, fresh or frozen","2018","November","Canada",27.689
"Fruits, fresh or frozen","2018","November","Honduras",24.608
"Fruits, fresh or frozen","2018","November","Colombia",16.346
"Fruits, fresh or frozen","2018","November","New Zealand",3.144
"Fruits, fresh or frozen","2018","November","World",958.145
"Fruits, fresh or frozen","2018","December","Mexico",485.483
"Fruits, fresh or frozen","2018","December","Chile",126.364
"Fruits, fresh or frozen","2018","December","Guatemala",112.132
"Fruits, fresh or frozen","2018","December","Peru",123.645
"Fruits, fresh or frozen","2018","December","Costa Rica",70.937
"Fruits, fresh or frozen","2018","December","Ecuador",47.93
"Fruits, fresh or frozen","2018","December","Canada",16.02
"Fruits, fresh or frozen","2018","December","Honduras",21.67
"Fruits, fresh or frozen","2018","December","Colombia",15.935
"Fruits, fresh or frozen","2018","December","Argentina",19.317
"Fruits, fresh or frozen","2018","December","World",1100.447
"Fruits, prepared or preserved","2018","January","Mexico",57.51
"Fruits, prepared or preserved","2018","January","China",51.81
"Fruits, prepared or preserved","2018","January","Thailand",33.27
"Fruits, prepared or preserved","2018","January","Canada",18.927
"Fruits, prepared or preserved","2018","January","European Union-28 3/",16.752
"Fruits, prepared or preserved","2018","January","Philippines",12.091
"Fruits, prepared or preserved","2018","January","Turkey",13.033
"Fruits, prepared or preserved","2018","January","Chile",10.067
"Fruits, prepared or preserved","2018","January","South Korea",8.788
"Fruits, prepared or preserved","2018","January","Ecuador",5.334
"Fruits, prepared or preserved","2018","January","World",274.445
"Fruits, prepared or preserved","2018","February","Mexico",50.703
"Fruits, prepared or preserved","2018","February","China",46.06
"Fruits, prepared or preserved","2018","February","Thailand",23.774
"Fruits, prepared or preserved","2018","February","Canada",20.64
"Fruits, prepared or preserved","2018","February","European Union-28 3/",16.394
"Fruits, prepared or preserved","2018","February","Philippines",9.066
"Fruits, prepared or preserved","2018","February","Turkey",10.508
"Fruits, prepared or preserved","2018","February","Chile",5.846
"Fruits, prepared or preserved","2018","February","South Korea",7.903
"Fruits, prepared or preserved","2018","February","Ecuador",7.146
"Fruits, prepared or preserved","2018","February","World",241.72
"Fruits, prepared or preserved","2018","March","Mexico",53.777
"Fruits, prepared or preserved","2018","March","China",47.445
"Fruits, prepared or preserved","2018","March","Thailand",25.603
"Fruits, prepared or preserved","2018","March","Canada",21.141
"Fruits, prepared or preserved","2018","March","European Union-28 3/",19.832
"Fruits, prepared or preserved","2018","March","Philippines",10.948
"Fruits, prepared or preserved","2018","March","Turkey",8.279
"Fruits, prepared or preserved","2018","March","South Korea",9.69
"Fruits, prepared or preserved","2018","March","Chile",7.048
"Fruits, prepared or preserved","2018","March","Ecuador",9.154
"Fruits, prepared or preserved","2018","March","World",261.211
"Fruits, prepared or preserved","2018","April","Mexico",54.612
"Fruits, prepared or preserved","2018","April","China",43.478
"Fruits, prepared or preserved","2018","April","Thailand",29.522
"Fruits, prepared or preserved","2018","April","Canada",22.378
"Fruits, prepared or preserved","2018","April","European Union-28 3/",21.124
"Fruits, prepared or preserved","2018","April","Philippines",12.374
"Fruits, prepared or preserved","2018","April","Turkey",8.134
"Fruits, prepared or preserved","2018","April","South Korea",8.92
"Fruits, prepared or preserved","2018","April","Chile",8.035
"Fruits, prepared or preserved","2018","April","Ecuador",8.405
"Fruits, prepared or preserved","2018","April","World",267.57
"Fruits, prepared or preserved","2018","May","Mexico",55.427
"Fruits, prepared or preserved","2018","May","China",53.439
"Fruits, prepared or preserved","2018","May","Thailand",25.174
"Fruits, prepared or preserved","2018","May","Canada",20.211
"Fruits, prepared or preserved","2018","May","European Union-28 3/",21.37
"Fruits, prepared or preserved","2018","May","Philippines",21.098
"Fruits, prepared or preserved","2018","May","Turkey",9.145
"Fruits, prepared or preserved","2018","May","South Korea",9.487
"Fruits, prepared or preserved","2018","May","Chile",8.651
"Fruits, prepared or preserved","2018","May","Ecuador",9.371
"Fruits, prepared or preserved","2018","May","World",287.729
"Fruits, prepared or preserved","2018","June","Mexico",49.726
"Fruits, prepared or preserved","2018","June","China",52.374
"Fruits, prepared or preserved","2018","June","Thailand",25.33
"Fruits, prepared or preserved","2018","June","Canada",20.083
"Fruits, prepared or preserved","2018","June","European Union-28 3/",20.178
"Fruits, prepared or preserved","2018","June","Philippines",14.8
"Fruits, prepared or preserved","2018","June","Turkey",9.818
"Fruits, prepared or preserved","2018","June","Chile",11.453
"Fruits, prepared or preserved","2018","June","South Korea",8.261
"Fruits, prepared or preserved","2018","June","Ecuador",6.595
"Fruits, prepared or preserved","2018","June","World",272.794
"Fruits, prepared or preserved","2018","July","Mexico",52.54
"Fruits, prepared or preserved","2018","July","China",47.09
"Fruits, prepared or preserved","2018","July","Thailand",42.138
"Fruits, prepared or preserved","2018","July","Canada",21.819
"Fruits, prepared or preserved","2018","July","European Union-28 3/",23.746
"Fruits, prepared or preserved","2018","July","Philippines",14.178
"Fruits, prepared or preserved","2018","July","Turkey",5.441
"Fruits, prepared or preserved","2018","July","Chile",12.514
"Fruits, prepared or preserved","2018","July","South Korea",8.197
"Fruits, prepared or preserved","2018","July","Ecuador",6.401
"Fruits, prepared or preserved","2018","July","World",294.298
"Fruits, prepared or preserved","2018","August","Mexico",57.98
"Fruits, prepared or preserved","2018","August","China",45.126
"Fruits, prepared or preserved","2018","August","Thailand",31.868
"Fruits, prepared or preserved","2018","August","Canada",20.43
"Fruits, prepared or preserved","2018","August","European Union-28 3/",21.101
"Fruits, prepared or preserved","2018","August","Philippines",12.998
"Fruits, prepared or preserved","2018","August","Chile",16.924
"Fruits, prepared or preserved","2018","August","Turkey",5.813
"Fruits, prepared or preserved","2018","August","South Korea",6.959
"Fruits, prepared or preserved","2018","August","Ecuador",7.139
"Fruits, prepared or preserved","2018","August","World",288.92
"Fruits, prepared or preserved","2018","September","Mexico",53.296
"Fruits, prepared or preserved","2018","September","China",45.77
"Fruits, prepared or preserved","2018","September","Thailand",30.692
"Fruits, prepared or preserved","2018","September","Canada",22.409
"Fruits, prepared or preserved","2018","September","European Union-28 3/",16.125
"Fruits, prepared or preserved","2018","September","Philippines",12.392
"Fruits, prepared or preserved","2018","September","Chile",13.592
"Fruits, prepared or preserved","2018","September","Turkey",4.779
"Fruits, prepared or preserved","2018","September","South Korea",8.055
"Fruits, prepared or preserved","2018","September","Ecuador",5.735
"Fruits, prepared or preserved","2018","September","World",264.907
"Fruits, prepared or preserved","2018","October","Mexico",60.906
"Fruits, prepared or preserved","2018","October","China",43.055
"Fruits, prepared or preserved","2018","October","Thailand",31.932
"Fruits, prepared or preserved","2018","October","Canada",22.81
"Fruits, prepared or preserved","2018","October","European Union-28 3/",21.577
"Fruits, prepared or preserved","2018","October","Philippines",12.849
"Fruits, prepared or preserved","2018","October","Chile",14.656
"Fruits, prepared or preserved","2018","October","South Korea",8.292
"Fruits, prepared or preserved","2018","October","Turkey",9.058
"Fruits, prepared or preserved","2018","October","Ecuador",6.413
"Fruits, prepared or preserved","2018","October","World",287.019
"Fruits, prepared or preserved","2018","November","Mexico",50.582
"Fruits, prepared or preserved","2018","November","China",49.611
"Fruits, prepared or preserved","2018","November","Thailand",23.205
"Fruits, prepared or preserved","2018","November","Canada",20.907
"Fruits, prepared or preserved","2018","November","European Union-28 3/",18.633
"Fruits, prepared or preserved","2018","November","Philippines",10.952
"Fruits, prepared or preserved","2018","November","Chile",15.016
"Fruits, prepared or preserved","2018","November","South Korea",9.558
"Fruits, prepared or preserved","2018","November","Turkey",8.244
"Fruits, prepared or preserved","2018","November","Ecuador",6.284
"Fruits, prepared or preserved","2018","November","World",265.296
"Fruits, prepared or preserved","2018","December","Mexico",50.582
"Fruits, prepared or preserved","2018","December","China",49.611
"Fruits, prepared or preserved","2018","December","Thailand",23.205
"Fruits, prepared or preserved","2018","December","Canada",20.907
"Fruits, prepared or preserved","2018","December","European Union-28 3/",18.633
"Fruits, prepared or preserved","2018","December","Philippines",10.952
"Fruits, prepared or preserved","2018","December","Chile",15.016
"Fruits, prepared or preserved","2018","December","South Korea",9.558
"Fruits, prepared or preserved","2018","December","Turkey",8.244
"Fruits, prepared or preserved","2018","December","Ecuador",6.284
"Fruits, prepared or preserved","2018","December","World",265.296
"Vegetables, fresh or frozen","2018","January","Mexico",50.939
"Vegetables, fresh or frozen","2018","January","Canada",87.741
"Vegetables, fresh or frozen","2018","January","Peru",2.973
"Vegetables, fresh or frozen","2018","January","European Union-28 3/",19.296
"Vegetables, fresh or frozen","2018","January","China",9.796
"Vegetables, fresh or frozen","2018","January","Guatemala",3.916
"Vegetables, fresh or frozen","2018","January","Costa Rica",2.172
